Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
"sempet putus, terus aku masih belum berani approach dan nunggu lagi. pas udah berani eh si kunyuk balikan. yaudah lah yA nunggu lagi'",0,1,0,0,0,0,0,0,0,0,0,0
"""Barangsiapa mengenal dirinya, maka ia akan sibuk memperbaikinya dengan tidak memerdulikan cacat dan aib orang lain.""\n\n- Habib Luthfi bin Yahya -'",0,0,0,0,0,0,0,0,0,0,0,0
RT USER Infrastruktur yg mana era SBY bangun setahu saya gk ada,1,0,1,0,0,0,0,0,1,1,0,0
"USER USER Kl mau meniru nabi, lajur utama buat onta, lajur kiri buat mobil dan motor.'",0,0,0,0,0,0,0,0,0,0,0,0
RT USER USER USER Udah benar langkah pemerintah utk bubarkan. Slain jd akun nyinyir kader jebolan HTI bbrpx,1,0,1,0,1,0,0,0,0,1,0,0
USER USER Gubernur rasa president,0,0,0,0,0,0,0,0,0,0,0,0
RT USER USER USER Se7. Jokowi hrs berani. LENGSERKAN Gatot. JokowiAgain,1,0,1,0,0,0,0,0,1,0,0,1
USER USER Arseto itu monyet ngak tahu adab dan moral',1,1,1,0,0,0,0,0,1,1,0,0
USER USER Becanda hye sumpa da nanti bisa di kirimin bom nuklir sama USER',0,0,0,0,0,0,0,0,0,0,0,0
Wajarlah Gerindra kayak gitu toh anak kecil aja dihormati sama Prabowo saking pngebetnya pengen jadi presiden.,1,0,0,1,0,0,0,0,1,0,1,0
RT USER: Asli punya USER \nMw mnta video/foto kontol gua lgi? Ini\nnmor WA gua +6289637850869\nTonton bgian terakhirnya b\xe2\x80\xa6',0,1,0,0,0,0,0,0,0,0,0,0
Knpsih ni dosen tiap adzan gapernah break dulu gitu?! Nyerocos mulu kunyuk',1,1,1,0,0,0,0,0,1,1,0,0
"RT USER: Foto sekilas ngentot ibu kandung gue tadi malam, sengaja gue kasih sekilas dulu, mau liat respon anda semua, 100 Retwet gue\xe2\x80\xa6'",0,1,0,0,0,0,0,0,0,0,0,0
Ada Orang tionghwa yang mengunakan izazah palsu.\n\nlalu ngaku tokoh masyarakat tionghwa sesungguhnya dia adalah sampah di Tg. Pinang.\n\nagama Kristen tapi sering di wihara itu nama nya Munafiq bagi Muslem.',1,0,0,1,1,1,0,0,0,0,1,0
USER Cinta monyet?',0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER USER USER \nNajis mogoladoh USER',1,1,1,0,0,0,0,0,1,1,0,0
Capres RI 1 nih pintar dan pro wong cillik dan tdk otoriter,0,0,0,0,0,0,0,0,0,0,0,0
"Agar Muslim moderat tak jadi sasaran tembak, Buang Islam USER MUI: kalau baru terduga sudah ditembak, tak setuju",1,0,0,1,1,0,0,0,0,0,1,0
RT USER: di doublefuck dua kontol besar URL,0,1,0,0,0,0,0,0,0,0,0,0
Ganyang PKI..!! Peramg terbuka generasi PKI dg ummat islam..!!,1,0,0,1,0,1,0,0,0,0,0,1
USER USER USER USER Bom yang real mudah terdeteksi bom yang terkubur suatu saat lebih dahsyat ledakannya itulah di sebut Revolusi Jiwa',0,0,0,0,0,0,0,0,0,0,0,0
"3. Presiden USER menyampaikan bahwa dalam waktu dekat ini akan digelar 171 pemilihan kepala daerah (pilkada) secara serentak baik pilkada gubernur, bupati dan wali kota #JokowiAjakUlamaSejukkanPilkada",0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER Dia gak cuma picik tapi juga picek',1,1,1,0,0,0,1,0,0,1,0,0
Maksufnya sih mau pencitraan ... apa daya lain pula kesan yg diberikan... #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0
USER USER Semua jadi kayak Eek di era mas jokow\xf0\x9f\x98\xa1',1,1,1,0,0,0,0,0,1,1,0,0
"USER USER USER mau menasehati kali supaya ga ugal2an nih rezim.. eh tapi ini negeri sdh keburu ancor..nah skrg saja ekonomi morat marit,, kacaoooooo!!'",1,0,1,0,0,0,0,0,1,1,0,0
USER USER Ah cuma pencitraan ya pak USER?,1,0,1,0,0,0,0,0,1,1,0,0
BUBARKAN partai politik !!!,1,0,0,1,0,0,0,0,1,0,0,1
RT USER: GOBLOK LO ASLI. URL,1,1,1,0,0,0,0,0,1,1,0,0
"#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju",1,1,0,1,0,0,0,0,1,0,1,0
"USER heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 35'",1,1,1,0,1,0,1,1,0,1,0,0
dr. Sam Aliano; ; Calon Presiden 2019.; ; Indonesia Bebas Hutang. â??; Indonesia Bubar Pas Kiamat. â??; Umroh Gratis per 1 Orang. â??,0,0,0,0,0,0,0,0,0,0,0,0
Tindakan kesewenang wenangan ini cerminan dari pusat kekuasaan rezim yang anti Islam. Terbukti rezim PDIP Nasdem memang Anti Islam.,1,0,0,1,1,0,0,0,0,0,1,0
Kamu kok kaya jablay GTA maunya dijemput pake mobil',1,1,1,0,0,0,0,1,0,1,0,0
Gogobli Beri Kemudahan Toko Obat dan Apotek dapat Pasokan Obat secara Online,0,0,0,0,0,0,0,0,0,0,0,0
Dih maho anjir geli gue',0,1,0,0,0,0,0,0,0,0,0,0
"USER AHAHAHAHAHA CAPEK.\n\nGua kira video 13 detik dia beneran ngomong, kampret.'",0,1,0,0,0,0,0,0,0,0,0,0
"USER Pak USER Saya harap KemAgama mau menggelar diskusi terbuka & beradab, sy siap memberi penjelasan",0,0,0,0,0,0,0,0,0,0,0,0
"USER dulu pakai aparat dgn mantra ""anda anti pembangunan. anda komunis""'",0,0,0,0,0,0,0,0,0,0,0,0
"USER Angkara komunis? Mustahil mahathir, sepanjang jd pm sblm ni takde la sampai mcm tu.'",0,0,0,0,0,0,0,0,0,0,0,0
RT USER kalau jokowi ga bs diingatkan... mundur aja jendral.. bantai doi th 2019 lewat pemilihan presiden,1,0,1,0,0,0,0,0,1,0,0,1
"USER + fed well\n+ benar benar memotivasi\n+ jarang rebutan bias\n+ dapet merch dia gampang dan lumayan murce\n\n- di bilang lesbi\n- ""cOwOknYa kOk cANtik""'",0,0,0,0,0,0,0,0,0,0,0,0
Kenapa bukan prancis/inggris? Perancis cacat antar lini. Inggris masih kebingungan. Tapi mereka punya pemain muda yg bisa diandalkan di tahun yg akan datang.',0,0,0,0,0,0,0,0,0,0,0,0
USER USER Baru kali ini ada capres goblok bin dungu...nada provokativ gitu ya kampret pada percaya heran aku....!!!!! #capresgoblok',1,1,1,0,0,0,0,0,1,1,0,0
